,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,Duration_ms,Stream
143,0.799,0.539,-6.351,0.0421,0.199,1.66e-05,0.394,136.948,202547.0,1290687019.0
144,0.632,0.686,-7.665,0.243,0.549,0.0,0.329,89.949,170770.0,1424962511.0
145,0.596,0.552,-10.278,0.097,0.0765,0.334,0.112,97.949,229320.0,1143264716.0
146,0.736,0.449,-11.462,0.425,0.33,0.000162,0.326,80.126,219080.0,1221083395.0
147,0.83,0.585,-5.802,0.0366,0.225,0.00209,0.642,105.03,228600.0,586480399.0
148,0.64,0.647,-8.114,0.186,0.124,0.0,0.546,92.979,197867.0,1241240312.0
149,0.708,0.648,-5.626,0.0449,0.0956,0.0,0.338,143.955,201707.0,843423744.0
150,0.778,0.632,-5.6,0.0493,0.274,0.0,0.498,122.104,218289.0,196761853.0
151,0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.823,131.963,158805.0,220692224.0
152,0.695,0.636,-4.654,0.317,0.234,0.0,0.575,174.14,172235.0,473003231.0
153,0.778,0.824,-5.892,0.0707,0.284,0.0,0.758,100.024,218093.0,1164605089.0
154,0.758,0.871,-6.408,0.147,0.0062,0.0,0.753,126.994,202627.0,629918488.0
155,0.831,0.868,-5.282,0.0325,0.176,0.0,0.483,131.971,194438.0,162685755.0
156,0.687,0.361,-11.589,0.0792,0.35,1.11e-05,0.526,165.747,173133.0,138360843.0
157,0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.907,102.034,195840.0,859799057.0
158,0.595,0.461,-7.786,0.0641,0.269,0.000149,0.338,91.976,192867.0,220084336.0
159,0.839,0.403,-11.059,0.0308,0.5,1.81e-06,0.575,97.967,254240.0,229134152.0
160,0.731,0.675,-5.134,0.0434,0.00473,0.0,0.298,124.939,139461.0,574531280.0
161,0.628,0.744,-4.718,0.0379,0.0257,0.0,0.277,119.921,169397.0,426759364.0
162,0.601,0.92,-4.802,0.0505,0.000735,0.0,0.537,88.014,170134.0,90825980.0
163,0.653,0.718,-5.232,0.213,0.00413,0.0,0.216,82.034,202805.0,382579404.0
164,0.654,0.875,-4.845,0.0744,0.000417,0.0086,0.522,99.975,171621.0,254290993.0
165,0.533,0.858,-4.212,0.0766,0.00021,0.0,0.506,160.057,205159.0,280845476.0
166,0.697,0.691,-4.757,0.146,0.214,0.0,0.305,137.853,239293.0,615784555.0
167,0.665,0.678,-4.122,0.0315,0.00156,0.0,0.682,131.986,122570.0,67878913.0
168,0.721,0.632,-6.695,0.0358,0.0693,0.0,0.296,92.057,144860.0,212221697.0
169,0.742,0.617,-6.689,0.0345,0.05,5.92e-05,0.491,147.002,124188.0,62736773.0
170,0.594,0.749,-5.298,0.056,0.0338,0.00106,0.694,179.968,172854.0,865695837.0
171,0.628,0.69,-5.83,0.0511,0.443,0.0,0.66,179.908,205907.0,765561212.0
172,0.635,0.713,-6.909,0.0937,0.228,0.0,0.749,179.864,204701.0,418186764.0
173,0.627,0.849,-3.167,0.153,0.0913,0.0,0.818,89.907,158087.0,185931694.0
174,0.681,0.648,-5.021,0.38,0.523,0.0,0.688,172.02,286507.0,350576786.0
175,0.855,0.912,-4.832,0.145,0.183,0.0,0.885,104.072,157023.0,136025763.0
176,0.76,0.803,-2.867,0.0306,0.531,0.0,0.922,136.945,223074.0,37382738.0
177,0.832,0.608,-6.042,0.0385,0.282,0.0,0.589,94.013,198707.0,479847676.0
178,0.591,0.785,-7.768,0.161,0.161,0.0,0.785,106.002,217547.0,89466323.0
179,0.827,0.788,-11.937,0.0831,0.246,0.0,0.815,109.933,170005.0,126333112.0
180,0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.394,129.171,185733.0,942898131.0
181,0.443,0.403,-8.339,0.0322,0.631,0.0,0.41,143.462,243027.0,526788025.0
